idle_depol,Energy (hartree),Error ΔE (hartree),Error %
0.0,-1.8363015782923737,0.02097345191000466,1.129259348720113
0.0005,-1.8454830861838354,0.011791944018542999,0.6349056454637247
0.001,-1.8546645940752975,0.002610436127080895,0.14055194220731262
0.0015,-1.8638461019667592,0.006571071764380765,0.35380176104907557
0.002,-1.8730276098582213,0.01575257965584287,0.8481554643054877
0.0025,-1.882209117749683,0.02493408754730453,1.3425091675618759
0.003,-1.891390625641145,0.03411559543876663,1.836862870818288
0.004,-1.9097536414240688,0.0524786112216904,2.8255702773310882
0.005,-1.9281166572069925,0.07084162700461416,3.8142776838438883
