Experiment,Energy (hartree),Error ΔE (hartree),Error %,Error reduction %
Baseline,-1.7996696857923729,0.05760534441000775,3.1016054958608206,0.0
No data_depol,-1.7907057512601032,0.06656927894227738,3.5842445442785906,-15.560942520312965
No meas_flip,-1.8174154045105377,0.03985962569184287,2.14613479660573,30.80568113933874
No reset_flip,-1.8304536633245871,0.026821366877793462,1.444124668755754,53.43944706433559
No gate_depol,-1.6364359978930865,0.22083903230929414,11.890486261758987,-283.3655272286296
