Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.446563,0.430860,0.2103,0.8905,0.0984,0.1024,0.1624,1.4283,0.0002
2,0.430761,0.426677,0.2106,0.8914,0.0967,0.1032,0.1624,1.4042,0.0002
3,0.427716,0.424498,0.2235,0.8921,0.0959,0.1036,0.1624,1.3922,0.0003
4,0.425697,0.424645,0.2270,0.8924,0.0962,0.1040,0.1624,1.3977,0.0002
5,0.424393,0.423763,0.2190,0.8924,0.0958,0.1023,0.1624,1.3908,0.0002
6,0.423325,0.423573,0.2271,0.8928,0.0956,0.1014,0.1624,1.3886,0.0002
7,0.422285,0.423482,0.2278,0.8930,0.0958,0.1030,0.1624,1.3915,0.0003
8,0.421413,0.422890,0.2375,0.8931,0.0956,0.1003,0.1624,1.3885,0.0003
9,0.420498,0.422496,0.2275,0.8931,0.0955,0.1003,0.1624,1.3869,0.0002
10,0.419638,0.423067,0.2357,0.8932,0.0957,0.1013,0.1624,1.3893,0.0002
11,0.418769,0.422471,0.2304,0.8932,0.0955,0.1006,0.1624,1.3867,0.0002
12,0.417811,0.423542,0.2347,0.8933,0.0956,0.1018,0.1624,1.3890,0.0003
13,0.416920,0.424460,0.2421,0.8933,0.0959,0.1021,0.1624,1.3932,0.0003
14,0.416094,0.423333,0.2342,0.8932,0.0956,0.1008,0.1624,1.3878,0.0003
15,0.415224,0.424394,0.2278,0.8933,0.0957,0.1004,0.1624,1.3901,0.0003
16,0.414270,0.425296,0.2352,0.8933,0.0962,0.1013,0.1624,1.3970,0.0003
