Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.671812,0.658413,0.1917,0.8161,0.1953,0.2011,0.2777,N/A,0.0003
2,0.664014,0.655792,0.2051,0.8172,0.1944,0.1989,0.2777,N/A,0.0003
3,0.662044,0.655187,0.2087,0.8175,0.1946,0.1991,0.2777,N/A,0.0002
4,0.660905,0.655104,0.2111,0.8176,0.1944,0.1981,0.2777,N/A,0.0002
5,0.659988,0.654237,0.2097,0.8176,0.1934,0.1984,0.2777,N/A,0.0002
6,0.659332,0.653905,0.2081,0.8177,0.1939,0.1979,0.2777,N/A,0.0002
7,0.658756,0.653676,0.2135,0.8179,0.1937,0.1983,0.2777,N/A,0.0002
8,0.658347,0.653432,0.2137,0.8179,0.1930,0.1977,0.2777,N/A,0.0002
9,0.657935,0.653486,0.2134,0.8180,0.1933,0.1977,0.2777,N/A,0.0002
10,0.657519,0.653385,0.2153,0.8179,0.1935,0.1983,0.2777,N/A,0.0002
11,0.657158,0.653846,0.2152,0.8179,0.1936,0.1984,0.2777,N/A,0.0002
12,0.656874,0.653727,0.2133,0.8179,0.1934,0.1982,0.2777,N/A,0.0002
13,0.656540,0.653884,0.2142,0.8180,0.1945,0.1983,0.2777,N/A,0.0002
