Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.829931,0.816555,0.1376,0.7502,0.2851,0.2898,0.3461,1.0904,0.0003
2,0.816847,0.813043,0.1595,0.7517,0.2823,0.2882,0.3461,1.0797,0.0002
3,0.814318,0.813123,0.1508,0.7519,0.2816,0.2886,0.3461,1.0769,0.0002
4,0.812606,0.811712,0.1554,0.7524,0.2808,0.2868,0.3461,1.0738,0.0002
5,0.811375,0.810795,0.1589,0.7529,0.2803,0.2857,0.3461,1.0721,0.0002
6,0.810327,0.810514,0.1576,0.7529,0.2805,0.2860,0.3461,1.0729,0.0002
7,0.809359,0.810964,0.1563,0.7529,0.2805,0.2858,0.3461,1.0730,0.0002
8,0.808424,0.811293,0.1636,0.7532,0.2811,0.2863,0.3461,1.0749,0.0002
9,0.807450,0.811170,0.1620,0.7531,0.2804,0.2861,0.3461,1.0723,0.0002
10,0.806471,0.811506,0.1641,0.7532,0.2810,0.2859,0.3461,1.0749,0.0002
