Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.446524,0.430294,0.2031,0.8903,0.0982,0.1036,0.1624,1.4260,0.0003
2,0.430417,0.425698,0.2225,0.8917,0.0961,0.1023,0.1624,1.3957,0.0003
3,0.427441,0.424592,0.2168,0.8921,0.0960,0.1008,0.1624,1.3938,0.0003
4,0.425609,0.425231,0.2215,0.8923,0.0969,0.1024,0.1624,1.4066,0.0003
5,0.424285,0.423710,0.2434,0.8928,0.0961,0.1022,0.1624,1.3961,0.0003
6,0.423174,0.423496,0.2260,0.8928,0.0958,0.1030,0.1624,1.3907,0.0002
7,0.422284,0.423177,0.2398,0.8930,0.0957,0.1018,0.1624,1.3901,0.0003
8,0.421326,0.422272,0.2233,0.8930,0.0953,0.1005,0.1624,1.3843,0.0003
9,0.420510,0.422950,0.2447,0.8932,0.0951,0.1022,0.1624,1.3818,0.0003
10,0.419765,0.422261,0.2366,0.8932,0.0953,0.1007,0.1624,1.3832,0.0002
11,0.418881,0.422658,0.2309,0.8932,0.0959,0.1016,0.1624,1.3922,0.0002
12,0.418059,0.422961,0.2406,0.8933,0.0954,0.1013,0.1624,1.3857,0.0002
13,0.417201,0.423111,0.2340,0.8933,0.0958,0.1011,0.1624,1.3905,0.0002
14,0.416274,0.422938,0.2316,0.8934,0.0955,0.0998,0.1624,1.3867,0.0002
