Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.639044,0.623180,0.1809,0.8292,0.1788,0.1837,0.2541,1.1861,0.0002
2,0.622964,0.618961,0.1920,0.8308,0.1761,0.1824,0.2541,1.1683,0.0002
3,0.619846,0.618444,0.1795,0.8309,0.1755,0.1809,0.2541,1.1641,0.0002
4,0.617788,0.616275,0.1919,0.8316,0.1747,0.1808,0.2541,1.1590,0.0003
5,0.616349,0.615630,0.1927,0.8316,0.1750,0.1794,0.2541,1.1605,0.0003
6,0.615200,0.616065,0.1955,0.8319,0.1751,0.1793,0.2541,1.1614,0.0003
7,0.614065,0.614580,0.2016,0.8322,0.1742,0.1785,0.2541,1.1553,0.0003
8,0.613001,0.614462,0.2058,0.8322,0.1742,0.1787,0.2541,1.1554,0.0003
9,0.612156,0.615123,0.1994,0.8322,0.1741,0.1794,0.2541,1.1545,0.0003
10,0.611008,0.615000,0.2011,0.8324,0.1744,0.1789,0.2541,1.1567,0.0002
11,0.610015,0.615189,0.2039,0.8323,0.1745,0.1786,0.2541,1.1576,0.0003
12,0.609009,0.615967,0.2052,0.8324,0.1750,0.1784,0.2541,1.1609,0.0003
13,0.607983,0.616247,0.1984,0.8323,0.1749,0.1782,0.2541,1.1599,0.0003
14,0.607002,0.617104,0.2043,0.8324,0.1753,0.1786,0.2541,1.1628,0.0002
