Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.446850,0.431687,0.1924,0.8902,0.0978,0.1036,0.1624,1.4204,0.0003
2,0.430527,0.426417,0.2149,0.8916,0.0965,0.1031,0.1624,1.4014,0.0002
3,0.427537,0.425146,0.2266,0.8921,0.0960,0.1012,0.1624,1.3946,0.0002
4,0.425776,0.424082,0.2307,0.8924,0.0961,0.1023,0.1624,1.3953,0.0002
5,0.424237,0.423290,0.2259,0.8925,0.0960,0.1018,0.1624,1.3946,0.0002
6,0.423104,0.422682,0.2375,0.8929,0.0954,0.1004,0.1624,1.3852,0.0003
7,0.422067,0.422135,0.2322,0.8930,0.0955,0.1016,0.1624,1.3869,0.0003
8,0.421122,0.422030,0.2406,0.8932,0.0954,0.1016,0.1624,1.3861,0.0003
9,0.420233,0.422381,0.2376,0.8932,0.0953,0.1017,0.1624,1.3843,0.0003
10,0.419434,0.422198,0.2350,0.8933,0.0952,0.1003,0.1624,1.3819,0.0003
11,0.418602,0.423665,0.2321,0.8933,0.0952,0.1011,0.1624,1.3829,0.0002
12,0.417717,0.422497,0.2344,0.8933,0.0956,0.0999,0.1624,1.3877,0.0002
13,0.416891,0.423569,0.2355,0.8933,0.0958,0.1018,0.1624,1.3910,0.0002
14,0.415913,0.423909,0.2372,0.8934,0.0958,0.1012,0.1624,1.3909,0.0002
15,0.415037,0.423833,0.2352,0.8933,0.0958,0.1011,0.1624,1.3911,0.0003
