Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.546102,0.534984,0.2166,0.8590,0.1394,0.1447,0.2206,N/A,0.0003
2,0.537709,0.533279,0.2168,0.8597,0.1386,0.1435,0.2206,N/A,0.0003
3,0.535724,0.531885,0.2283,0.8602,0.1385,0.1437,0.2206,N/A,0.0002
4,0.534554,0.530940,0.2269,0.8604,0.1381,0.1419,0.2206,N/A,0.0002
5,0.533583,0.530320,0.2348,0.8607,0.1378,0.1424,0.2206,N/A,0.0002
6,0.532821,0.530744,0.2294,0.8606,0.1379,0.1427,0.2206,N/A,0.0002
7,0.532190,0.530419,0.2279,0.8608,0.1378,0.1427,0.2206,N/A,0.0002
8,0.531796,0.530052,0.2334,0.8608,0.1376,0.1422,0.2206,N/A,0.0002
9,0.531327,0.530324,0.2358,0.8609,0.1373,0.1427,0.2206,N/A,0.0002
10,0.530935,0.530465,0.2299,0.8608,0.1377,0.1422,0.2206,N/A,0.0002
11,0.530622,0.529891,0.2373,0.8609,0.1378,0.1419,0.2206,N/A,0.0002
12,0.530318,0.530106,0.2362,0.8609,0.1377,0.1428,0.2206,N/A,0.0002
13,0.530025,0.530089,0.2326,0.8608,0.1377,0.1415,0.2206,N/A,0.0002
14,0.529744,0.530431,0.2289,0.8607,0.1380,0.1425,0.2206,N/A,0.0002
