Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.823861,0.816709,0.1593,0.7503,0.2854,0.2901,0.3514,N/A,0.0003
2,0.817598,0.815046,0.1650,0.7510,0.2842,0.2901,0.3514,N/A,0.0003
3,0.815899,0.813994,0.1800,0.7515,0.2834,0.2891,0.3514,N/A,0.0002
4,0.814826,0.813327,0.1776,0.7519,0.2823,0.2896,0.3514,N/A,0.0002
5,0.814043,0.813413,0.1816,0.7520,0.2824,0.2878,0.3514,N/A,0.0002
6,0.813433,0.813037,0.1809,0.7520,0.2832,0.2895,0.3514,N/A,0.0002
7,0.812988,0.812856,0.1788,0.7520,0.2836,0.2882,0.3514,N/A,0.0002
8,0.812597,0.812830,0.1796,0.7521,0.2824,0.2886,0.3514,N/A,0.0002
9,0.812213,0.813044,0.1832,0.7521,0.2830,0.2881,0.3514,N/A,0.0002
