Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.446930,0.429786,0.2086,0.8904,0.0976,0.1057,0.1624,1.4175,0.0002
2,0.430965,0.427939,0.2233,0.8915,0.0972,0.1036,0.1624,1.4121,0.0002
3,0.427977,0.425109,0.2253,0.8920,0.0963,0.1031,0.1624,1.3987,0.0002
4,0.426130,0.424414,0.2239,0.8924,0.0961,0.1025,0.1624,1.3957,0.0002
5,0.424803,0.423085,0.2217,0.8926,0.0957,0.1019,0.1624,1.3893,0.0003
6,0.423734,0.423213,0.2263,0.8928,0.0956,0.1038,0.1624,1.3879,0.0003
7,0.422723,0.422451,0.2339,0.8929,0.0954,0.1029,0.1624,1.3852,0.0002
8,0.421928,0.422526,0.2271,0.8930,0.0954,0.1028,0.1624,1.3861,0.0002
9,0.420994,0.422792,0.2368,0.8931,0.0952,0.1005,0.1624,1.3821,0.0002
10,0.420160,0.422406,0.2355,0.8932,0.0953,0.1032,0.1624,1.3833,0.0002
11,0.419486,0.422893,0.2393,0.8932,0.0957,0.1015,0.1624,1.3896,0.0002
12,0.418644,0.422525,0.2331,0.8933,0.0953,0.1016,0.1624,1.3843,0.0003
13,0.417839,0.423445,0.2368,0.8932,0.0957,0.1008,0.1624,1.3904,0.0002
14,0.416866,0.423046,0.2375,0.8933,0.0956,0.1002,0.1624,1.3885,0.0002
