Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.831399,0.816504,0.1302,0.7494,0.2840,0.2905,0.3461,1.0864,0.0003
2,0.817998,0.813959,0.1433,0.7509,0.2823,0.2888,0.3461,1.0798,0.0003
3,0.815237,0.813184,0.1463,0.7516,0.2816,0.2873,0.3461,1.0772,0.0003
4,0.813596,0.811275,0.1574,0.7523,0.2804,0.2872,0.3461,1.0726,0.0002
5,0.812170,0.811401,0.1556,0.7524,0.2811,0.2890,0.3461,1.0752,0.0002
6,0.811177,0.811138,0.1554,0.7526,0.2805,0.2855,0.3461,1.0728,0.0002
7,0.810124,0.810911,0.1602,0.7530,0.2803,0.2872,0.3461,1.0722,0.0002
8,0.809060,0.810870,0.1578,0.7529,0.2807,0.2875,0.3461,1.0736,0.0002
9,0.808126,0.810927,0.1622,0.7531,0.2803,0.2875,0.3461,1.0720,0.0003
10,0.807153,0.811431,0.1634,0.7531,0.2817,0.2867,0.3461,1.0775,0.0003
11,0.806101,0.812361,0.1634,0.7531,0.2820,0.2868,0.3461,1.0785,0.0003
12,0.805031,0.811975,0.1675,0.7533,0.2825,0.2869,0.3461,1.0803,0.0003
13,0.804025,0.812527,0.1715,0.7533,0.2822,0.2871,0.3461,1.0794,0.0003
14,0.802807,0.813267,0.1656,0.7532,0.2818,0.2857,0.3461,1.0780,0.0003
