Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.640147,0.623461,0.1822,0.8290,0.1791,0.1850,0.2541,1.1877,0.0003
2,0.623882,0.619756,0.1884,0.8304,0.1763,0.1831,0.2541,1.1694,0.0002
3,0.620298,0.617264,0.1935,0.8312,0.1758,0.1819,0.2541,1.1664,0.0002
4,0.618366,0.616746,0.1950,0.8316,0.1756,0.1813,0.2541,1.1647,0.0002
5,0.616799,0.615866,0.1967,0.8317,0.1748,0.1799,0.2541,1.1594,0.0003
6,0.615529,0.616267,0.2010,0.8318,0.1752,0.1818,0.2541,1.1624,0.0002
7,0.614480,0.615249,0.1974,0.8321,0.1744,0.1798,0.2541,1.1567,0.0002
8,0.613465,0.615048,0.2015,0.8322,0.1748,0.1797,0.2541,1.1595,0.0002
9,0.612406,0.615779,0.2016,0.8323,0.1745,0.1795,0.2541,1.1576,0.0002
10,0.611514,0.615599,0.1983,0.8322,0.1749,0.1802,0.2541,1.1602,0.0002
11,0.610334,0.615821,0.2013,0.8323,0.1751,0.1798,0.2541,1.1611,0.0002
12,0.609274,0.616567,0.1990,0.8322,0.1750,0.1797,0.2541,1.1606,0.0002
