Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.640512,0.622523,0.1855,0.8290,0.1781,0.1847,0.2541,1.1814,0.0002
2,0.623509,0.619540,0.1904,0.8303,0.1762,0.1821,0.2541,1.1689,0.0002
3,0.620225,0.617232,0.1922,0.8311,0.1754,0.1821,0.2541,1.1632,0.0003
4,0.618187,0.617827,0.1972,0.8314,0.1753,0.1801,0.2541,1.1624,0.0003
5,0.616683,0.616072,0.1990,0.8317,0.1753,0.1805,0.2541,1.1625,0.0002
6,0.615561,0.615555,0.2039,0.8320,0.1748,0.1784,0.2541,1.1596,0.0002
7,0.614447,0.615582,0.1996,0.8321,0.1747,0.1791,0.2541,1.1588,0.0002
8,0.613401,0.615191,0.2033,0.8321,0.1743,0.1794,0.2541,1.1563,0.0002
9,0.612436,0.615940,0.2020,0.8322,0.1748,0.1799,0.2541,1.1592,0.0002
10,0.611452,0.615530,0.2021,0.8323,0.1744,0.1797,0.2541,1.1565,0.0003
11,0.610424,0.616088,0.1998,0.8323,0.1748,0.1792,0.2541,1.1593,0.0003
12,0.609532,0.616509,0.1961,0.8322,0.1748,0.1798,0.2541,1.1596,0.0002
13,0.608606,0.616963,0.1971,0.8323,0.1750,0.1793,0.2541,1.1609,0.0002
