Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.446686,0.430753,0.2041,0.8904,0.0986,0.1050,0.1624,1.4315,0.0003
2,0.430948,0.426227,0.2229,0.8914,0.0963,0.1030,0.1624,1.3990,0.0002
3,0.428037,0.425001,0.2177,0.8920,0.0964,0.1013,0.1624,1.3992,0.0002
4,0.426249,0.423845,0.2270,0.8924,0.0959,0.1015,0.1624,1.3931,0.0002
5,0.424831,0.423897,0.2243,0.8926,0.0960,0.1011,0.1624,1.3938,0.0002
6,0.423703,0.422690,0.2293,0.8929,0.0953,0.1013,0.1624,1.3845,0.0002
7,0.422738,0.422604,0.2266,0.8929,0.0955,0.1007,0.1624,1.3868,0.0002
8,0.421767,0.422670,0.2327,0.8930,0.0956,0.1009,0.1624,1.3887,0.0002
9,0.420931,0.422444,0.2357,0.8931,0.0952,0.1015,0.1624,1.3830,0.0002
10,0.419959,0.422395,0.2295,0.8932,0.0956,0.1019,0.1624,1.3883,0.0002
11,0.419217,0.422884,0.2291,0.8932,0.0956,0.1009,0.1624,1.3885,0.0002
12,0.418247,0.423073,0.2373,0.8933,0.0959,0.1010,0.1624,1.3920,0.0003
13,0.417544,0.423139,0.2305,0.8933,0.0956,0.1008,0.1624,1.3879,0.0003
14,0.416589,0.423468,0.2352,0.8933,0.0958,0.1012,0.1624,1.3908,0.0003
