Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.496195,0.480589,0.2183,0.8751,0.1177,0.1230,0.1937,N/A,0.0003
2,0.487732,0.478458,0.2355,0.8761,0.1162,0.1212,0.1937,N/A,0.0003
3,0.485667,0.477244,0.2374,0.8766,0.1161,0.1199,0.1937,N/A,0.0003
4,0.484443,0.477264,0.2440,0.8768,0.1159,0.1199,0.1937,N/A,0.0003
5,0.483622,0.476981,0.2410,0.8768,0.1153,0.1199,0.1937,N/A,0.0002
6,0.482966,0.476665,0.2448,0.8772,0.1148,0.1195,0.1937,N/A,0.0002
7,0.482427,0.476204,0.2462,0.8772,0.1156,0.1198,0.1937,N/A,0.0002
8,0.481938,0.476141,0.2404,0.8771,0.1160,0.1194,0.1937,N/A,0.0003
9,0.481508,0.476099,0.2410,0.8771,0.1154,0.1197,0.1937,N/A,0.0002
10,0.481124,0.475835,0.2474,0.8773,0.1154,0.1197,0.1937,N/A,0.0003
11,0.480760,0.476195,0.2465,0.8772,0.1155,0.1194,0.1937,N/A,0.0003
