Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.590162,0.580059,0.2196,0.8443,0.1596,0.1641,0.2420,N/A,0.0003
2,0.582193,0.577135,0.2189,0.8449,0.1584,0.1628,0.2420,N/A,0.0003
3,0.580284,0.575953,0.2266,0.8452,0.1570,0.1614,0.2420,N/A,0.0002
4,0.579112,0.575502,0.2179,0.8455,0.1576,0.1613,0.2420,N/A,0.0002
5,0.578243,0.575210,0.2263,0.8456,0.1568,0.1619,0.2420,N/A,0.0003
6,0.577610,0.574794,0.2228,0.8455,0.1568,0.1609,0.2420,N/A,0.0002
7,0.577106,0.574486,0.2292,0.8456,0.1570,0.1614,0.2420,N/A,0.0002
8,0.576629,0.574464,0.2264,0.8457,0.1568,0.1612,0.2420,N/A,0.0002
9,0.576199,0.574231,0.2265,0.8457,0.1564,0.1611,0.2420,N/A,0.0002
10,0.575763,0.574539,0.2246,0.8458,0.1572,0.1611,0.2420,N/A,0.0002
11,0.575405,0.574257,0.2269,0.8458,0.1571,0.1606,0.2420,N/A,0.0002
12,0.575088,0.574724,0.2237,0.8458,0.1566,0.1609,0.2420,N/A,0.0002
13,0.574768,0.574822,0.2262,0.8457,0.1574,0.1612,0.2420,N/A,0.0002
14,0.574456,0.574775,0.2287,0.8458,0.1566,0.1610,0.2420,N/A,0.0002
