Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.709102,0.700117,0.1905,0.8012,0.2164,0.2228,0.2922,N/A,0.0003
2,0.700881,0.697446,0.1919,0.8021,0.2145,0.2212,0.2922,N/A,0.0003
3,0.698973,0.697089,0.1917,0.8023,0.2147,0.2206,0.2922,N/A,0.0002
4,0.697654,0.696622,0.1964,0.8025,0.2145,0.2200,0.2922,N/A,0.0002
5,0.696706,0.695232,0.2043,0.8028,0.2132,0.2185,0.2922,N/A,0.0002
6,0.696026,0.695535,0.1963,0.8026,0.2139,0.2198,0.2922,N/A,0.0002
7,0.695462,0.695735,0.2025,0.8030,0.2142,0.2201,0.2922,N/A,0.0002
8,0.695016,0.695189,0.2037,0.8030,0.2142,0.2193,0.2922,N/A,0.0002
9,0.694599,0.695762,0.2051,0.8029,0.2139,0.2183,0.2922,N/A,0.0002
10,0.694237,0.694884,0.2000,0.8030,0.2141,0.2188,0.2922,N/A,0.0002
