Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.638281,0.623582,0.1867,0.8293,0.1780,0.1836,0.2541,1.1806,0.0003
2,0.622592,0.618454,0.1972,0.8309,0.1761,0.1834,0.2541,1.1680,0.0003
3,0.619376,0.617262,0.2022,0.8313,0.1753,0.1815,0.2541,1.1627,0.0002
4,0.617436,0.617234,0.2020,0.8318,0.1758,0.1806,0.2541,1.1659,0.0003
5,0.615864,0.616045,0.2007,0.8319,0.1751,0.1798,0.2541,1.1614,0.0002
6,0.614632,0.615189,0.2032,0.8322,0.1744,0.1796,0.2541,1.1571,0.0003
7,0.613595,0.614722,0.1976,0.8323,0.1744,0.1790,0.2541,1.1565,0.0003
8,0.612651,0.615600,0.2022,0.8323,0.1751,0.1792,0.2541,1.1616,0.0003
9,0.611451,0.615528,0.2060,0.8324,0.1748,0.1791,0.2541,1.1596,0.0003
10,0.610443,0.615296,0.2028,0.8325,0.1739,0.1786,0.2541,1.1533,0.0003
11,0.609452,0.616243,0.2023,0.8325,0.1754,0.1793,0.2541,1.1633,0.0003
12,0.608363,0.616232,0.2066,0.8326,0.1746,0.1792,0.2541,1.1584,0.0002
13,0.607322,0.616482,0.2018,0.8324,0.1747,0.1788,0.2541,1.1589,0.0002
14,0.606124,0.616965,0.2043,0.8325,0.1753,0.1791,0.2541,1.1630,0.0002
15,0.604962,0.617613,0.1992,0.8324,0.1755,0.1792,0.2541,1.1642,0.0002
