Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.633228,0.621525,0.1995,0.8294,0.1784,0.1840,0.2584,N/A,0.0003
2,0.625132,0.619687,0.2070,0.8300,0.1771,0.1838,0.2584,N/A,0.0003
3,0.623144,0.618402,0.2121,0.8306,0.1766,0.1827,0.2584,N/A,0.0002
4,0.621866,0.617997,0.2179,0.8307,0.1765,0.1825,0.2584,N/A,0.0002
5,0.620964,0.617852,0.2157,0.8309,0.1768,0.1804,0.2584,N/A,0.0002
6,0.620328,0.617309,0.2202,0.8311,0.1765,0.1804,0.2584,N/A,0.0002
7,0.619711,0.617075,0.2197,0.8311,0.1767,0.1806,0.2584,N/A,0.0002
8,0.619262,0.617471,0.2191,0.8311,0.1765,0.1811,0.2584,N/A,0.0002
9,0.618807,0.617162,0.2194,0.8312,0.1766,0.1809,0.2584,N/A,0.0002
