Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.830236,0.818233,0.1368,0.7501,0.2856,0.2890,0.3461,1.0922,0.0002
2,0.817189,0.814773,0.1435,0.7512,0.2845,0.2888,0.3461,1.0883,0.0002
3,0.814487,0.813009,0.1601,0.7523,0.2816,0.2877,0.3461,1.0769,0.0002
4,0.812786,0.812275,0.1536,0.7525,0.2812,0.2866,0.3461,1.0757,0.0002
5,0.811505,0.810578,0.1600,0.7529,0.2798,0.2863,0.3461,1.0703,0.0002
6,0.810336,0.811474,0.1603,0.7531,0.2804,0.2861,0.3461,1.0723,0.0003
7,0.809421,0.810571,0.1588,0.7531,0.2801,0.2855,0.3461,1.0715,0.0003
8,0.808386,0.810310,0.1691,0.7535,0.2801,0.2869,0.3461,1.0712,0.0003
9,0.807407,0.810599,0.1653,0.7533,0.2809,0.2867,0.3461,1.0744,0.0003
10,0.806449,0.810779,0.1627,0.7535,0.2800,0.2863,0.3461,1.0708,0.0002
