Epoch,Train_Loss,Val_Loss,"Val_ECR (diagnostic, sim-only)",Val_Acc,Val_LER,Val_parity_LER (diagnostic),Raw_LER,LER/MWPM ratio,Inference_ms
1,0.771684,0.762533,0.1768,0.7746,0.2511,0.2561,0.3253,N/A,0.0003
2,0.764454,0.760645,0.1832,0.7755,0.2490,0.2542,0.3253,N/A,0.0003
3,0.762589,0.759849,0.1860,0.7759,0.2486,0.2543,0.3253,N/A,0.0002
4,0.761306,0.759246,0.1881,0.7761,0.2488,0.2537,0.3253,N/A,0.0002
5,0.760408,0.758710,0.1920,0.7764,0.2482,0.2539,0.3253,N/A,0.0002
6,0.759720,0.758600,0.1886,0.7763,0.2479,0.2537,0.3253,N/A,0.0003
7,0.759246,0.758625,0.1904,0.7764,0.2480,0.2535,0.3253,N/A,0.0002
8,0.758773,0.758542,0.1910,0.7764,0.2484,0.2545,0.3253,N/A,0.0003
9,0.758389,0.758457,0.1912,0.7764,0.2482,0.2538,0.3253,N/A,0.0003
10,0.758030,0.758801,0.1906,0.7764,0.2482,0.2540,0.3253,N/A,0.0003
11,0.757632,0.758497,0.1922,0.7765,0.2485,0.2536,0.3253,N/A,0.0003
